time (s),DL Filtering Design 1,DL Filtering Design 2,DL Filtering Design 3,DL Filtering Design 4,DL Filtering Design 5,DL Filtering Design 6,DL Filtering Design 7,ProteinMPNN Design 1
46.8,0.0618824,0.08208252,0.0805371,0.07578375,0.06250161,0.07550332,0.06642344,0.07377307
47,0.06250709,0.0826095,0.08140231,0.075213,0.06156126,0.07205456,0.07001692,0.07289741
47.2,0.06477256,0.08091447,0.08457071,0.07548655,0.05637946,0.0735095,0.06536941,0.07390761
47.4,0.06367617,0.08408607,0.0761346,0.07708702,0.06270404,0.07693625,0.06726205,0.06808912
47.6,0.06158363,0.08114664,0.08069709,0.07518919,0.0620869,0.06976219,0.06788075,0.07218947
47.8,0.06631451,0.08093882,0.0808916,0.07768426,0.06113585,0.07648069,0.07241331,0.07244639
48,0.06633642,0.08058477,0.08175295,0.0793927,0.06333483,0.07439744,0.07176429,0.07298101
48.2,0.06378593,0.08925185,0.07924058,0.07865067,0.0653784,0.07419538,0.06952321,0.07497848
48.4,0.06587558,0.07823876,0.08122763,0.07301731,0.06012344,0.07678612,0.07142563,0.07454846
48.6,0.06311877,0.08394482,0.08131187,0.07584341,0.06293265,0.07051384,0.06911202,0.07391689
48.8,0.06246741,0.08179212,0.08457649,0.07935766,0.05937198,0.07375998,0.06863165,0.07639844
49,0.06617535,0.0838431,0.08680761,0.07359397,0.06376369,0.07428461,0.0744448,0.07854801
49.2,0.06737317,0.08171464,0.08348503,0.07884797,0.06113423,0.07657456,0.07054721,0.07741433
49.4,0.064143,0.07895003,0.08364947,0.07721219,0.06238501,0.07692563,0.06984361,0.07162973
49.6,0.06885203,0.08588746,0.08658189,0.07881039,0.06285165,0.07357016,0.0706148,0.07447418
49.8,0.06846537,0.08678503,0.08401101,0.07655253,0.05745134,0.07292141,0.06969593,0.06905314
50,0.06324947,0.08442526,0.08101372,0.07805059,0.06063489,0.07654649,0.07243649,0.07918172
50.2,0.06610595,0.0842016,0.08610117,0.07569195,0.05850815,0.07098953,0.07271576,0.07402334
50.4,0.06438848,0.08492234,0.08184116,0.07835629,0.06409281,0.074201,0.07412095,0.07582881
50.6,0.06603189,0.08256886,0.08702956,0.07664414,0.06672393,0.07677253,0.07422371,0.07849395
50.8,0.06766585,0.08975904,0.08566596,0.07948426,0.06273206,0.0745191,0.07080016,0.07144634
51,0.06737018,0.08050295,0.08174169,0.08077616,0.06408611,0.07785825,0.07050068,0.0746459
51.2,0.06747176,0.08825152,0.08142653,0.07754906,0.0657169,0.07501903,0.0700937,0.07822704
51.4,0.06746926,0.08851679,0.08516027,0.0821693,0.06226914,0.07648724,0.06894433,0.07943073
51.6,0.06836541,0.08449939,0.08397228,0.07883249,0.0630129,0.07315825,0.07214767,0.07911912
51.8,0.06762241,0.08606914,0.08432375,0.07965321,0.06295966,0.08050645,0.07257294,0.07581648
52,0.06923012,0.08615813,0.08820593,0.078663,0.06435336,0.07212194,0.07126608,0.07264716
52.2,0.06514151,0.08858451,0.08676455,0.07852941,0.06415792,0.07811455,0.0724906,0.08073919
52.4,0.06823052,0.08646264,0.08658498,0.08158851,0.06413037,0.07585134,0.07143533,0.07753366
